id,composite_confidence,route,expected_route,route_correct,language
t001,0.8226,escalate,escalate,1,en
t002,0.7853,human_review,human_review,1,en
t003,0.8773,human_review,human_review,1,en
t004,0.9255,auto_reply,human_review,0,en
t005,0.9382,auto_reply,escalate,0,en
t006,0.9323,auto_reply,auto_reply,1,en
t007,0.9148,auto_reply,auto_reply,1,en
t008,0.7998,escalate,escalate,1,hi-en
t009,0.9154,auto_reply,human_review,0,hi-en
t010,0.9175,auto_reply,human_review,0,en
t011,0.8835,human_review,human_review,1,en
t012,0.9321,auto_reply,human_review,0,en
t013,0.8815,human_review,human_review,1,en
t014,0.7928,human_review,human_review,1,en
t015,0.8825,human_review,human_review,1,en
t016,0.9004,escalate,escalate,1,en
t017,0.878,human_review,human_review,1,en
t018,0.9028,auto_reply,human_review,0,en
t019,0.9002,auto_reply,auto_reply,1,en
t020,0.8315,human_review,human_review,1,en
t021,0.8281,human_review,human_review,1,hi-en
t022,0.868,human_review,human_review,1,en
t023,0.787,human_review,auto_reply,0,en
t024,0.8317,escalate,human_review,0,en
