id,composite_confidence,route,expected_route,route_correct,language
g001,0.8458,human_review,auto_reply,0,en
g002,0.0,human_review,human_review,1,en
g003,0.0,human_review,auto_reply,0,en
g004,0.9264,auto_reply,auto_reply,1,en
g005,0.8229,human_review,human_review,1,en
g006,0.0,human_review,human_review,1,en
g007,0.8943,human_review,auto_reply,0,en
g008,0.8888,human_review,human_review,1,en
g009,0.806,human_review,auto_reply,0,en
g010,0.0,human_review,human_review,1,en
g011,0.8838,human_review,auto_reply,0,en
g012,0.0,human_review,auto_reply,0,en
g013,0.786,human_review,auto_reply,0,en
g014,0.865,human_review,human_review,1,en
g015,0.0,human_review,human_review,1,en
g016,0.9331,auto_reply,human_review,0,en
g017,0.0,human_review,escalate,0,en
g018,0.9112,auto_reply,human_review,0,en
g019,0.8993,human_review,auto_reply,0,en
g020,0.0,human_review,auto_reply,0,en
g021,0.7494,human_review,auto_reply,0,en
g022,0.5894,human_review,auto_reply,0,en
g023,0.0,human_review,auto_reply,0,en
g024,0.6153,human_review,auto_reply,0,en
g025,0.833,human_review,auto_reply,0,en
g026,0.834,human_review,human_review,1,en
g027,0.8545,human_review,human_review,1,en
g028,0.0,human_review,human_review,1,en
g029,0.8351,human_review,auto_reply,0,en
g030,0.0,human_review,auto_reply,0,en
g031,0.8703,human_review,auto_reply,0,en
g032,0.9043,auto_reply,auto_reply,1,en
g033,0.9247,auto_reply,auto_reply,1,en
g034,0.9376,auto_reply,auto_reply,1,en
g035,0.8354,human_review,auto_reply,0,en
g036,0.8755,human_review,auto_reply,0,en
g037,0.0,human_review,human_review,1,en
g038,0.8902,human_review,auto_reply,0,en
g039,0.0,human_review,escalate,0,en
g040,0.716,human_review,human_review,1,en
g041,0.0,human_review,human_review,1,hi-en
g042,0.0,human_review,human_review,1,hi-en
g043,0.829,human_review,auto_reply,0,hi-en
g044,0.0,human_review,auto_reply,0,hi-en
g045,0.0,human_review,human_review,1,hi-en
g046,0.0,human_review,human_review,1,hi-en
g047,0.0,human_review,auto_reply,0,hi-en
g048,0.0,human_review,auto_reply,0,hi-en
g049,0.0,human_review,auto_reply,0,hi-en
g050,0.0,human_review,human_review,1,hi-en
g051,0.0,human_review,human_review,1,hi-en
g052,0.0,human_review,auto_reply,0,hi-en
g053,0.0,human_review,auto_reply,0,hi-en
g054,0.0,human_review,auto_reply,0,hi-en
g055,0.0,human_review,human_review,1,hi-en
g056,0.0,human_review,human_review,1,en
g057,0.0,human_review,human_review,1,hi
g058,0.0,human_review,human_review,1,en
g059,0.0,human_review,escalate,0,en
g060,0.0,human_review,escalate,0,en
